feedback_id,client_id,booking_id,feedback_date,overall_rating,nps_score,trainer_rating,comments
F00001,C0001,B00001,2022-05-17,4.2,8,4.0,"Good course overall, met expectations"
F00002,C0001,B00002,2022-07-10,4.2,7,4.6,
F00003,C0001,B00003,2022-08-16,4.8,9,4.7,"Exceeded expectations, highly recommend"
F00004,C0001,B00004,2022-10-12,3.6,7,3.5,"Decent workshop, learned some new things"
F00005,C0001,B00006,2023-01-17,3.9,8,3.8,"Decent workshop, learned some new things"
F00006,C0001,B00007,2023-03-09,3.6,7,3.8,
F00007,C0001,B00009,2023-05-31,4.2,8,4.3,"Useful content, could use more examples"
F00008,C0001,B00010,2023-08-03,3.4,1,3.6,"Too theoretical, needed more practical exercises"
F00009,C0001,B00011,2023-09-30,4.9,10,4.8,"Good pace, well-structured content"
F00010,C0001,B00014,2024-03-09,4.0,8,4.1,"Decent workshop, learned some new things"
F00011,C0003,B00016,2022-08-27,5.0,9,5.0,
F00012,C0003,B00017,2022-12-02,4.3,7,4.9,"Useful content, could use more examples"
F00013,C0003,B00018,2023-03-06,4.3,7,4.2,
F00014,C0003,B00019,2023-05-29,4.2,7,4.1,"Decent workshop, learned some new things"
F00015,C0003,B00020,2023-08-26,3.9,7,4.0,
F00016,C0003,B00021,2023-11-28,4.8,9,4.7,Very useful tools and frameworks provided
F00017,C0004,B00022,2023-10-27,4.8,10,5.0,"Exceeded expectations, highly recommend"
F00018,C0004,B00025,2024-02-25,3.9,8,4.2,
F00019,C0004,B00026,2024-03-27,3.9,7,3.9,
F00020,C0004,B00027,2024-05-17,3.5,8,3.6,"Useful content, could use more examples"
F00021,C0004,B00028,2024-07-05,3.9,7,3.7,
F00022,C0004,B00031,2024-10-27,4.5,10,4.6,
F00023,C0004,B00033,2025-01-12,4.5,10,4.3,Trainer was knowledgeable and approachable
F00024,C0004,B00034,2025-02-15,3.4,3,3.4,"Pace was too fast, hard to follow"
F00025,C0005,B00035,2022-11-15,4.5,10,5.0,Very useful tools and frameworks provided
F00026,C0005,B00036,2022-12-28,3.9,8,3.6,
F00027,C0005,B00037,2023-01-27,3.8,8,4.0,"Good course overall, met expectations"
F00028,C0005,B00038,2023-03-29,4.9,9,4.9,"Good pace, well-structured content"
F00029,C0005,B00041,2023-08-04,4.0,8,3.7,
F00030,C0005,B00042,2023-09-18,4.8,10,4.9,Highly engaging and interactive session
F00031,C0005,B00043,2023-11-01,4.6,10,4.1,Great real-world examples and case studies
F00032,C0005,B00044,2023-12-01,4.9,10,5.0,
F00033,C0005,B00045,2024-01-06,4.2,8,4.6,
F00034,C0006,B00046,2021-02-27,4.6,10,4.9,Great real-world examples and case studies
F00035,C0006,B00047,2021-03-28,4.5,10,5.0,"Good pace, well-structured content"
F00036,C0006,B00048,2021-04-29,4.0,8,4.4,"Decent workshop, learned some new things"
F00037,C0006,B00049,2021-06-03,4.4,7,4.5,"Decent workshop, learned some new things"
F00038,C0006,B00050,2021-07-19,4.1,8,4.1,"Good course overall, met expectations"
F00039,C0006,B00052,2021-10-05,4.3,7,4.9,"Useful content, could use more examples"
F00040,C0006,B00055,2022-01-15,5.0,9,4.9,
F00041,C0006,B00056,2022-02-06,4.2,7,4.3,
F00042,C0006,B00058,2022-04-16,3.8,8,4.3,
F00043,C0006,B00059,2022-05-25,4.6,10,4.8,"Good pace, well-structured content"
F00044,C0007,B00060,2024-06-15,3.8,8,3.9,"Useful content, could use more examples"
F00045,C0007,B00061,2024-07-26,4.5,9,4.6,Highly engaging and interactive session
F00046,C0007,B00062,2024-08-26,3.5,7,3.5,
F00047,C0007,B00063,2024-10-07,3.8,7,3.8,
F00048,C0007,B00064,2024-11-05,4.3,7,4.3,"Good course overall, met expectations"
F00049,C0007,B00066,2025-02-09,3.8,8,3.8,
F00050,C0007,B00070,2025-08-14,4.5,10,4.8,"Exceeded expectations, highly recommend"
F00051,C0007,B00073,2025-12-23,4.3,8,4.6,
F00052,C0008,B00074,2022-02-05,4.0,8,4.5,
F00053,C0009,B00076,2022-10-14,3.6,7,3.4,
F00054,C0009,B00077,2022-12-03,4.7,10,4.8,Great real-world examples and case studies
F00055,C0009,B00081,2023-07-19,4.7,10,4.8,
F00056,C0010,B00082,2022-09-05,4.1,7,4.3,"Decent workshop, learned some new things"
F00057,C0010,B00083,2022-12-20,4.0,7,4.3,
F00058,C0010,B00084,2023-04-09,4.0,7,3.8,Trainer was knowledgeable
F00059,C0010,B00085,2023-07-02,4.2,7,4.3,"Good course overall, met expectations"
F00060,C0010,B00086,2023-09-25,3.9,8,4.3,"Useful content, could use more examples"
F00061,C0010,B00087,2024-01-08,4.7,10,5.0,Great real-world examples and case studies
F00062,C0010,B00088,2024-04-01,3.7,8,3.9,Trainer was knowledgeable
F00063,C0011,B00090,2025-01-25,4.4,7,4.5,"Useful content, could use more examples"
F00064,C0011,B00091,2025-03-04,4.7,10,4.6,"Excellent trainer, very practical content"
F00065,C0011,B00092,2025-05-05,3.9,7,4.2,
F00066,C0011,B00093,2025-06-29,4.9,9,4.9,Trainer was knowledgeable and approachable
F00067,C0012,B00097,2022-02-25,3.5,8,3.9,
F00068,C0012,B00098,2022-06-29,4.2,8,4.1,"Good course overall, met expectations"
F00069,C0012,B00100,2023-02-18,4.0,7,3.6,"Good course overall, met expectations"
F00070,C0013,B00101,2021-01-20,3.9,7,4.3,
F00071,C0013,B00102,2021-04-28,5.0,9,5.0,Great real-world examples and case studies
F00072,C0013,B00103,2021-08-02,3.8,7,3.8,"Good course overall, met expectations"
F00073,C0014,B00105,2021-09-08,3.8,7,3.7,
F00074,C0014,B00106,2021-10-30,3.9,7,3.6,"Decent workshop, learned some new things"
F00075,C0014,B00107,2021-12-23,3.7,8,3.5,
F00076,C0014,B00109,2022-04-07,4.5,9,5.0,Highly engaging and interactive session
F00077,C0014,B00110,2022-06-14,4.6,9,5.0,Highly engaging and interactive session
F00078,C0014,B00111,2022-08-05,4.1,7,4.1,"Useful content, could use more examples"
F00079,C0014,B00112,2022-09-20,4.4,8,4.9,
F00080,C0014,B00114,2023-01-05,5.0,10,4.9,Great real-world examples and case studies
F00081,C0014,B00116,2023-03-30,3.7,8,4.1,
F00082,C0014,B00117,2023-05-13,3.8,8,3.5,"Useful content, could use more examples"
F00083,C0014,B00118,2023-06-14,5.0,10,5.0,Great real-world examples and case studies
F00084,C0014,B00120,2023-10-02,5.0,9,5.0,
F00085,C0015,B00121,2025-08-17,4.7,10,4.8,
F00086,C0015,B00122,2025-10-06,4.1,8,4.3,"Decent workshop, learned some new things"
F00087,C0015,B00123,2025-11-25,4.7,10,4.3,Great real-world examples and case studies
F00088,C0016,B00124,2023-04-18,4.5,9,4.9,
F00089,C0016,B00125,2023-05-27,4.4,7,4.2,"Good course overall, met expectations"
F00090,C0016,B00126,2023-07-10,4.2,8,4.6,Trainer was knowledgeable
F00091,C0016,B00128,2023-11-04,4.0,7,4.0,"Useful content, could use more examples"
F00092,C0016,B00129,2023-12-11,3.8,8,3.9,Trainer was knowledgeable
F00093,C0016,B00130,2024-01-20,4.9,10,4.9,
F00094,C0016,B00131,2024-03-02,4.3,8,4.5,Trainer was knowledgeable
F00095,C0016,B00132,2024-04-16,4.3,7,4.2,
F00096,C0017,B00133,2022-03-15,3.7,7,3.9,"Good course overall, met expectations"
F00097,C0017,B00134,2022-04-25,4.4,7,4.1,
F00098,C0017,B00135,2022-06-24,3.5,8,3.9,
F00099,C0017,B00136,2022-08-30,4.3,7,3.9,
F00100,C0017,B00137,2022-11-02,4.9,9,4.8,"Good pace, well-structured content"
F00101,C0017,B00138,2023-01-06,3.5,7,3.8,"Useful content, could use more examples"
F00102,C0017,B00141,2023-06-16,4.3,7,4.2,"Decent workshop, learned some new things"
F00103,C0017,B00142,2023-08-20,4.0,7,4.4,
F00104,C0017,B00143,2023-10-11,4.0,8,4.4,"Good course overall, met expectations"
F00105,C0017,B00144,2023-12-11,4.8,10,5.0,Highly engaging and interactive session
F00106,C0017,B00145,2024-02-23,4.0,8,4.5,"Good course overall, met expectations"
F00107,C0017,B00146,2024-04-10,4.5,9,4.6,
F00108,C0018,B00149,2023-01-20,5.0,10,5.0,
F00109,C0018,B00150,2023-04-13,4.0,7,4.1,"Useful content, could use more examples"
F00110,C0018,B00151,2023-06-30,3.9,7,4.1,"Useful content, could use more examples"
F00111,C0018,B00152,2023-09-27,4.9,10,4.7,Highly engaging and interactive session
F00112,C0018,B00153,2023-12-24,3.6,7,4.0,"Good course overall, met expectations"
F00113,C0018,B00154,2024-03-23,4.8,9,5.0,
F00114,C0019,B00155,2023-01-30,4.4,8,4.2,"Good course overall, met expectations"
F00115,C0019,B00156,2023-04-17,4.1,7,4.3,Trainer was knowledgeable
F00116,C0019,B00157,2023-06-07,4.5,9,4.9,"Exceeded expectations, highly recommend"
F00117,C0019,B00158,2023-08-07,4.5,9,5.0,Very useful tools and frameworks provided
F00118,C0019,B00159,2023-10-08,4.0,7,4.3,Trainer was knowledgeable
F00119,C0019,B00160,2023-12-21,4.5,9,4.7,
