client_id,client_name,industry_sector,company_size,first_booking_date,account_manager,region
C0001,Aviation Holdings,Telecommunications,Small (1-50),2022-05-13,Noura Salem,Ajman
C0002,Education Group,Healthcare,Enterprise (500+),2025-10-08,Mohammed Ali,Ajman
C0003,National Real Estate Group,Healthcare,Large (201-500),2022-08-24,Fatima Ahmed,Abu Dhabi
C0004,Real Estate Group,Construction,Small (1-50),2023-10-26,Ahmed Abdullah,Abu Dhabi
C0005,National Logistics LLC,Manufacturing,Medium (51-200),2022-11-08,Sara Hassan,Abu Dhabi
C0006,Dubai Logistics Holdings,Retail,Large (201-500),2021-02-25,Mohammed Ali,Fujairah
C0007,Middle East Technology Holdings,Construction,Enterprise (500+),2024-06-14,Sara Hassan,Fujairah
C0008,Al Company,Technology,Large (201-500),2022-02-02,Fatima Ahmed,Dubai
C0009,Gulf Trading Services,Healthcare,Large (201-500),2022-10-08,Noura Salem,Ajman
C0010,Arabian Development Company,Logistics,Small (1-50),2022-09-04,Mohammed Ali,Fujairah
C0011,Emirates Solutions,Real Estate,Large (201-500),2025-01-19,Noura Salem,Abu Dhabi
C0012,National Enterprises,Government,Enterprise (500+),2022-02-18,Fatima Ahmed,Fujairah
C0013,Logistics Industries,Real Estate,Medium (51-200),2021-01-14,Mohammed Ali,Sharjah
C0014,Abu Dhabi Healthcare International,Oil & Gas,Large (201-500),2021-09-03,Sara Hassan,Dubai
C0015,Logistics Holdings,Aviation,Medium (51-200),2025-08-16,Mohammed Ali,Fujairah
C0016,Investment Company,Aviation,Medium (51-200),2023-04-14,Sara Hassan,Ajman
C0017,Middle East Development Services,Oil & Gas,Large (201-500),2022-03-08,Fatima Ahmed,Ras Al Khaimah
C0018,Dubai Education Company,Oil & Gas,Small (1-50),2022-11-04,Sara Hassan,Abu Dhabi
C0019,Aviation LLC,Construction,Medium (51-200),2023-01-25,Ahmed Abdullah,Ajman
C0020,Investment Services,Banking & Finance,Small (1-50),2024-11-18,Fatima Ahmed,Ajman
C0021,Dubai Company,Government,Enterprise (500+),2021-11-12,Mohammed Ali,Sharjah
C0022,Petroleum Group,Real Estate,Small (1-50),2023-05-10,Fatima Ahmed,Dubai
C0023,Dubai Solutions,Banking & Finance,Enterprise (500+),2025-01-06,Sara Hassan,Ajman
C0024,Middle East Services,Healthcare,Small (1-50),2024-05-07,Noura Salem,Fujairah
C0025,Education Services,Logistics,Medium (51-200),2022-11-28,Fatima Ahmed,Ras Al Khaimah
C0026,Investment Holdings,Healthcare,Small (1-50),2025-07-01,Noura Salem,Abu Dhabi
C0027,Construction Company,Telecommunications,Large (201-500),2023-08-07,Mohammed Ali,Sharjah
C0028,Abu Dhabi Technology Industries,Construction,Small (1-50),2023-09-24,Fatima Ahmed,Ras Al Khaimah
C0029,Gulf Holdings,Government,Enterprise (500+),2024-10-02,Noura Salem,Fujairah
C0030,Global Real Estate International,Education,Small (1-50),2024-04-02,Fatima Ahmed,Fujairah
C0031,Abu Dhabi Construction Industries,Manufacturing,Large (201-500),2022-11-05,Noura Salem,Ajman
C0032,Al Petroleum Solutions,Manufacturing,Large (201-500),2024-07-16,Mohammed Ali,Fujairah
C0033,Petroleum Holdings,Government,Small (1-50),2023-06-22,Sara Hassan,Ras Al Khaimah
C0034,Al Industries,Healthcare,Medium (51-200),2022-11-07,Fatima Ahmed,Sharjah
C0035,International Logistics Solutions,Technology,Small (1-50),2021-07-29,Mohammed Ali,Fujairah
C0036,National Corporation,Logistics,Small (1-50),2024-02-01,Ahmed Abdullah,Dubai
C0037,Dubai Company,Retail,Large (201-500),2024-10-30,Fatima Ahmed,Sharjah
C0038,Middle East Healthcare Solutions,Education,Medium (51-200),2023-12-24,Noura Salem,Sharjah
C0039,Investment LLC,Oil & Gas,Enterprise (500+),2025-09-25,Noura Salem,Dubai
C0040,Real Estate International,Telecommunications,Medium (51-200),2024-07-09,Sara Hassan,Ajman
C0041,Manufacturing Industries,Education,Enterprise (500+),2025-07-22,Sara Hassan,Ajman
C0042,Technology Solutions,Telecommunications,Medium (51-200),2022-01-15,Noura Salem,Ras Al Khaimah
C0043,Trading Solutions,Tourism & Hospitality,Large (201-500),2024-04-05,Ahmed Abdullah,Ajman
C0044,United Corporation,Real Estate,Large (201-500),2023-06-21,Fatima Ahmed,Dubai
C0045,Abu Dhabi Group,Tourism & Hospitality,Small (1-50),2022-03-06,Ahmed Abdullah,Ajman
C0046,Trading Corporation,Telecommunications,Small (1-50),2022-06-02,Fatima Ahmed,Ajman
C0047,Abu Dhabi Real Estate International,Construction,Medium (51-200),2024-09-20,Ahmed Abdullah,Fujairah
C0048,United LLC,Logistics,Enterprise (500+),2022-12-21,Mohammed Ali,Fujairah
C0049,Dubai Industries,Manufacturing,Medium (51-200),2021-02-12,Sara Hassan,Ajman
C0050,National Trading Industries,Government,Medium (51-200),2025-07-07,Ahmed Abdullah,Fujairah
C0051,Arabian Enterprises,Banking & Finance,Medium (51-200),2025-02-03,Ahmed Abdullah,Ajman
C0052,Global Solutions,Education,Enterprise (500+),2021-08-19,Ahmed Abdullah,Ras Al Khaimah
C0053,Dubai Services,Construction,Small (1-50),2021-10-04,Ahmed Abdullah,Sharjah
C0054,Aviation LLC,Banking & Finance,Enterprise (500+),2022-03-14,Noura Salem,Ras Al Khaimah
C0055,Abu Dhabi Services,Technology,Large (201-500),2022-03-26,Mohammed Ali,Ajman
C0056,National Solutions,Banking & Finance,Small (1-50),2024-02-12,Sara Hassan,Dubai
C0057,Trading Group,Government,Medium (51-200),2022-04-21,Mohammed Ali,Ajman
C0058,Emirates Education Company,Tourism & Hospitality,Small (1-50),2022-03-12,Mohammed Ali,Sharjah
C0059,Global Bank Industries,Tourism & Hospitality,Medium (51-200),2025-05-05,Fatima Ahmed,Fujairah
C0060,Emirates LLC,Real Estate,Enterprise (500+),2021-08-13,Sara Hassan,Abu Dhabi
C0061,Arabian Services,Manufacturing,Enterprise (500+),2023-02-10,Mohammed Ali,Ajman
C0062,Global International,Technology,Large (201-500),2024-12-17,Sara Hassan,Dubai
C0063,Education LLC,Technology,Large (201-500),2021-04-16,Fatima Ahmed,Ajman
C0064,Dubai Enterprises,Education,Large (201-500),2021-03-06,Noura Salem,Abu Dhabi
C0065,Healthcare Company,Construction,Enterprise (500+),2023-01-19,Ahmed Abdullah,Abu Dhabi
C0066,Dubai Industries,Construction,Large (201-500),2025-06-05,Ahmed Abdullah,Fujairah
C0067,Gulf Development Services,Telecommunications,Medium (51-200),2022-11-11,Sara Hassan,Abu Dhabi
C0068,Dubai Company,Telecommunications,Large (201-500),2021-10-13,Fatima Ahmed,Dubai
C0069,Dubai Development Corporation,Education,Small (1-50),2024-04-15,Fatima Ahmed,Ras Al Khaimah
C0070,Emirates Group,Construction,Enterprise (500+),2024-04-23,Sara Hassan,Dubai
C0071,National Logistics Services,Tourism & Hospitality,Small (1-50),2025-08-29,Mohammed Ali,Dubai
C0072,Healthcare Solutions,Tourism & Hospitality,Medium (51-200),2021-05-26,Noura Salem,Ajman
C0073,United Construction LLC,Tourism & Hospitality,Small (1-50),2023-06-04,Mohammed Ali,Fujairah
C0074,National Technology Holdings,Government,Small (1-50),2024-10-06,Ahmed Abdullah,Ajman
C0075,Construction Industries,Logistics,Enterprise (500+),2022-01-31,Fatima Ahmed,Fujairah
C0076,Investment Holdings,Healthcare,Medium (51-200),2024-08-21,Sara Hassan,Dubai
C0077,Al Aviation Industries,Construction,Large (201-500),2025-07-19,Ahmed Abdullah,Sharjah
