communication_id,client_id,contact_date,contact_type,contact_reason,contacted_by
COM06707,C0354,2021-02-09,Meeting,Course recommendation,Sara Hassan
COM04211,C0222,2021-02-14,Video Call,Course recommendation,Mohammed Ali
COM07953,C0419,2021-02-27,Email,Training needs assessment,Mohammed Ali
COM06709,C0354,2021-03-03,Meeting,Thank you message,Sara Hassan
COM05408,C0284,2021-03-11,Email,General inquiry,Mohammed Ali
COM00125,C0006,2021-03-12,WhatsApp,Satisfaction survey,Mohammed Ali
COM00955,C0049,2021-03-19,WhatsApp,Complaint resolution,Sara Hassan
COM06070,C0321,2021-03-27,Email,Renewal discussion,Ahmed Abdullah
COM07456,C0392,2021-03-29,Meeting,Feedback discussion,Mohammed Ali
COM05440,C0286,2021-03-29,Phone Call,Satisfaction survey,Fatima Ahmed
COM07447,C0392,2021-03-31,Email,Account review,Mohammed Ali
COM04221,C0222,2021-04-18,Meeting,Renewal discussion,Mohammed Ali
COM00131,C0006,2021-04-19,WhatsApp,General inquiry,Mohammed Ali
COM09002,C0482,2021-04-19,Phone Call,Renewal discussion,Noura Salem
COM01219,C0063,2021-04-20,Phone Call,Follow-up on booking,Fatima Ahmed
COM06084,C0321,2021-04-20,WhatsApp,General inquiry,Ahmed Abdullah
COM04925,C0255,2021-04-22,WhatsApp,Feedback discussion,Ahmed Abdullah
COM05463,C0286,2021-04-26,WhatsApp,Training needs assessment,Fatima Ahmed
COM05395,C0284,2021-05-01,Phone Call,Course recommendation,Mohammed Ali
COM08993,C0482,2021-05-04,Email,Follow-up on booking,Noura Salem
COM06619,C0349,2021-05-07,WhatsApp,Training needs assessment,Fatima Ahmed
COM06614,C0349,2021-05-07,Phone Call,Renewal discussion,Fatima Ahmed
COM04921,C0255,2021-05-17,WhatsApp,Feedback discussion,Ahmed Abdullah
COM03023,C0163,2021-05-18,Video Call,Renewal discussion,Ahmed Abdullah
COM02102,C0114,2021-05-18,Email,Thank you message,Fatima Ahmed
COM02916,C0158,2021-05-18,Video Call,New course announcement,Sara Hassan
COM06469,C0344,2021-05-19,Video Call,Satisfaction survey,Noura Salem
COM06078,C0321,2021-05-21,WhatsApp,General inquiry,Ahmed Abdullah
COM03255,C0174,2021-05-24,WhatsApp,Renewal discussion,Ahmed Abdullah
COM05462,C0286,2021-05-27,Phone Call,Training needs assessment,Fatima Ahmed
COM01920,C0102,2021-05-27,Meeting,Satisfaction survey,Noura Salem
COM03022,C0163,2021-05-29,Video Call,Invoice query,Ahmed Abdullah
COM04031,C0213,2021-05-31,Phone Call,Schedule confirmation,Fatima Ahmed
COM07460,C0392,2021-06-04,Meeting,Satisfaction survey,Mohammed Ali
COM06699,C0354,2021-06-05,WhatsApp,Training needs assessment,Sara Hassan
COM08901,C0475,2021-06-11,Email,Feedback discussion,Noura Salem
COM06595,C0349,2021-06-17,WhatsApp,Account review,Fatima Ahmed
COM00121,C0006,2021-06-19,Meeting,Feedback discussion,Mohammed Ali
COM05403,C0284,2021-06-20,Video Call,Follow-up on booking,Mohammed Ali
COM06292,C0333,2021-06-22,Email,Invoice query,Sara Hassan
COM07949,C0419,2021-06-25,Email,General inquiry,Mohammed Ali
COM05471,C0286,2021-06-27,WhatsApp,Schedule confirmation,Fatima Ahmed
COM05899,C0309,2021-06-27,Video Call,Invoice query,Sara Hassan
COM05665,C0296,2021-07-01,WhatsApp,New course announcement,Noura Salem
COM02967,C0159,2021-07-02,Phone Call,Course recommendation,Sara Hassan
COM02917,C0158,2021-07-02,Meeting,Training needs assessment,Sara Hassan
COM04812,C0251,2021-07-09,Meeting,New course announcement,Sara Hassan
COM02947,C0159,2021-07-11,Phone Call,Satisfaction survey,Sara Hassan
COM02797,C0152,2021-07-14,Phone Call,Feedback discussion,Mohammed Ali
COM08056,C0426,2021-07-15,Meeting,Complaint resolution,Fatima Ahmed
COM01954,C0104,2021-07-18,WhatsApp,Invoice query,Noura Salem
COM04027,C0213,2021-07-18,Video Call,Feedback discussion,Fatima Ahmed
COM07813,C0412,2021-07-26,Video Call,Renewal discussion,Noura Salem
COM03290,C0174,2021-07-27,Video Call,Training needs assessment,Ahmed Abdullah
COM05898,C0309,2021-07-28,Meeting,Schedule confirmation,Sara Hassan
COM05438,C0286,2021-07-28,Meeting,Schedule confirmation,Fatima Ahmed
COM08728,C0465,2021-07-29,Phone Call,Thank you message,Mohammed Ali
COM05411,C0284,2021-07-29,Meeting,New course announcement,Mohammed Ali
COM01355,C0072,2021-07-30,Email,Feedback discussion,Noura Salem
COM02904,C0158,2021-08-03,Email,Follow-up on booking,Sara Hassan
COM06382,C0338,2021-08-03,Meeting,Follow-up on booking,Noura Salem
COM05439,C0286,2021-08-04,Phone Call,Thank you message,Fatima Ahmed
COM06616,C0349,2021-08-04,Email,Renewal discussion,Fatima Ahmed
COM06482,C0344,2021-08-10,WhatsApp,Thank you message,Noura Salem
COM05458,C0286,2021-08-11,Video Call,Invoice query,Fatima Ahmed
COM02685,C0146,2021-08-13,Phone Call,Quotation request,Fatima Ahmed
COM04896,C0254,2021-08-14,WhatsApp,Satisfaction survey,Fatima Ahmed
COM02942,C0159,2021-08-16,Video Call,Satisfaction survey,Sara Hassan
COM06082,C0321,2021-08-16,Phone Call,Training needs assessment,Ahmed Abdullah
COM04516,C0233,2021-08-16,WhatsApp,Complaint resolution,Fatima Ahmed
COM05444,C0286,2021-08-17,Video Call,New course announcement,Fatima Ahmed
COM04783,C0251,2021-08-18,Phone Call,Thank you message,Sara Hassan
COM03304,C0174,2021-08-20,Video Call,Training needs assessment,Ahmed Abdullah
COM01230,C0063,2021-08-20,Email,Account review,Fatima Ahmed
COM02901,C0158,2021-08-20,Email,General inquiry,Sara Hassan
COM04781,C0251,2021-08-22,Video Call,Invoice query,Sara Hassan
COM05962,C0312,2021-08-27,WhatsApp,Follow-up on booking,Noura Salem
COM06296,C0333,2021-08-28,Meeting,Schedule confirmation,Sara Hassan
COM04244,C0222,2021-08-30,Email,Account review,Mohammed Ali
COM01135,C0060,2021-08-30,Phone Call,New course announcement,Sara Hassan
COM07006,C0370,2021-09-01,Video Call,Thank you message,Fatima Ahmed
COM01915,C0102,2021-09-02,WhatsApp,Thank you message,Noura Salem
COM04958,C0257,2021-09-05,Email,General inquiry,Ahmed Abdullah
COM03305,C0174,2021-09-05,Meeting,Course recommendation,Ahmed Abdullah
COM01926,C0102,2021-09-05,Video Call,Follow-up on booking,Noura Salem
COM00283,C0014,2021-09-05,Video Call,New course announcement,Sara Hassan
COM00945,C0049,2021-09-06,Meeting,Course recommendation,Sara Hassan
COM04802,C0251,2021-09-09,Meeting,Complaint resolution,Sara Hassan
COM02793,C0152,2021-09-09,Phone Call,General inquiry,Mohammed Ali
COM00280,C0013,2021-09-11,WhatsApp,Invoice query,Mohammed Ali
COM06060,C0321,2021-09-12,Meeting,General inquiry,Ahmed Abdullah
COM02884,C0157,2021-09-13,WhatsApp,General inquiry,Noura Salem
COM05076,C0266,2021-09-15,WhatsApp,Thank you message,Noura Salem
COM01961,C0104,2021-09-16,Video Call,Account review,Noura Salem
COM02968,C0159,2021-09-16,Phone Call,Follow-up on booking,Sara Hassan
COM04032,C0213,2021-09-19,Meeting,Thank you message,Fatima Ahmed
COM02733,C0148,2021-09-23,Phone Call,Schedule confirmation,Mohammed Ali
COM02961,C0159,2021-09-23,Video Call,Complaint resolution,Sara Hassan
COM07036,C0371,2021-09-25,Phone Call,New course announcement,Fatima Ahmed
COM04911,C0254,2021-09-25,Meeting,Quotation request,Fatima Ahmed
COM04692,C0243,2021-09-28,WhatsApp,New course announcement,Mohammed Ali
COM04957,C0257,2021-09-28,Video Call,Feedback discussion,Ahmed Abdullah
COM04629,C0238,2021-09-29,Phone Call,Feedback discussion,Sara Hassan
COM04245,C0222,2021-10-01,Email,Course recommendation,Mohammed Ali
COM08474,C0452,2021-10-06,Video Call,Schedule confirmation,Ahmed Abdullah
COM06083,C0321,2021-10-07,WhatsApp,General inquiry,Ahmed Abdullah
COM01956,C0104,2021-10-09,WhatsApp,Thank you message,Noura Salem
COM06077,C0321,2021-10-11,WhatsApp,Complaint resolution,Ahmed Abdullah
COM04036,C0213,2021-10-11,WhatsApp,Invoice query,Fatima Ahmed
COM05989,C0316,2021-10-12,Video Call,New course announcement,Fatima Ahmed
COM04513,C0233,2021-10-13,Email,New course announcement,Fatima Ahmed
COM09346,C0498,2021-10-14,WhatsApp,Training needs assessment,Noura Salem
COM09264,C0493,2021-10-14,WhatsApp,General inquiry,Sara Hassan
COM04940,C0255,2021-10-15,Phone Call,Schedule confirmation,Ahmed Abdullah
